precio,ubicacion,habitaciones,baños,parqueaderos,area,descripcion,tipo_propiedad,ciudad_final,precio_por_m2
900000000,"santa barbara occidental, chico , santa barbara",4.0,4.0,2.0,215.0,presentamos espectacular casa perfecta remodelar chico navarra ubicación ideal cuenta buenas vías acceso parques restaurantes necesitas día día acceso vehicular calle 109 embargo salida peatonal lado opuesto conjunto permitirá acceder directamente gran parque podrás disfrutar zonas verdes aprovechar hacer ejercicio aire libre conjunto cuenta seguridad 24 horas consta 8 casas ingresar descubrirás casa diseño tradicional buenos espacios cuenta varias áreas adicionales espacios habitaciones cuales podrás acomodar estudio hall televisión incluso gimnasio acuerdo necesidades gran oportunidad aquellos quieren remodelar gusto buscan lugar tranquilo seguro familiar vivir pide cita ven conocerla,Casa en venta,desconocida,4186046.511627907
800000000,"sopo, briceno, montana",5.0,4.0,0.0,253.0,casa rentable centro sopó excelente ubicación cuenta dos apartamentos dos locales bodega invima servicios publicos gas natural renta aprox 4500000 mes apt1 primer piso salacomedor dos habitaciones baño patio ropas apt2 segundo piso salacomedor tres habitaciones balcon baño patio ropas aceptan permutas,Casa en venta,medellin,3162055.3359683794
1500000000,"san lucas, balsos no.1, inmaculada",4.0,4.0,2.0,200.0,excelente casa arrendamiento venda unidad bien ubicada excelentes espacios zona verde acabados impecables disfrutar familia casa buscaste cuenta 3 alcobas 1 servicio 3 baños completos 1 social cocina integral abierta zona ropas sala comedor estudio sala tv terraza amplia 2 parqueaderos cubiertos 2 descubiertos urbanización cuenta gimnasio piscina salón social parque infantil,Casa en venta,desconocida,7500000.0
280000000,"boca grande, castillo grande, br san pedro",2.0,3.0,2.0,90.0,tv cable servicio internet porteria vigilancia,Casa en venta,bogota,3111111.111111111
250000000,"dosquebradas, campestre a, san nicolas",3.0,3.0,1.0,92.0,casa sector playa rica dosquebradas ubicada zona estratégica alta valorización casa ofrece comodidad accesibilidad cercanía importantes vías comercios ubicación privilegiada acceso avenida ferrocarril variante pollo cerca viaducto césar gaviria trujillo pocos minutos supermercados ara d1 super inter excelente servicio transporte público rutas busetas taxis características casa sala comedor amplios 3 habitaciones cómodas cocina funcional zona ropas 2 baños completos 1 baño social contáctanos información agenda visita hoy mismo dejes pasar oportunidad inversión,Casa en venta,desconocida,2717391.304347826
680000000,"manizales, laureles, palermo bajo",3.0,3.0,1.0,111.81,ofrecemos espaciosa casa ubicación privilegiada rodeada vistas panorámicas distribuida 3 niveles ofrece mucha comodidad independencia 111 mtrs2 cuentas 3 habitaciones principal baño vestier balcón estudio patio grande pérgola zona ropas aparte cocina integral parqueadero vehículo exterior ventaja vivir conjunto cerrado cuentas vigilancia privada 24 horas áreas verdes privacidad exclusividad ubicación ideal 3 cuadras avenida santander cerca supermercados centro comercial universidades colegios pierdas oportunidad adquirir excelente casa ofrecemos espaciosa casa ubicación privilegiada rodeada vistas panorámicas distribuida 3 niveles ofrece mucha comodidad independencia 111 mtrs2 cuentas 3 habitaciones principal baño vestier balcón estudio patio grande pérgola zona ropas aparte cocina integral parqueadero vehículo exterior ventaja vivir conjunto cerrado cuentas vigilancia privada 24 horas áreas verdes privacidad exclusividad ubicación ideal 3 cuadras avenida santander cerca supermercados centro comercial universidades colegios pierdas oportunidad adquirir excelente casa,Casa en venta,manizales,6081745.818799749
180000000,"centro , centro, saleciano",6.0,2.0,0.0,180.0,casa asoagrin tuluá valle cauca piso 1 consta salacomedor 3 alcobas principal baño cocina baño social patio luz patio zona oficios piso 2 salacomedor 3 alcobas cocina baño social zona oficios terraza cerca polideportivo asoagrin,Casa en venta,medellin,1000000.0
235000000,"soacha, san luis, . terreros",3.0,2.0,1.0,62.0,excelente ubicacioncerca centro comercial gran plaza mercurio autopista sur bomberos estacion policia frente estadio soacha,Apartamento en venta,medellin,3790322.580645161
4500000000,"finca a venta, sector don diego palomino, catorce hectareas, cultivos de limon mandarino reforestacion de arboles de caoba con registro ica y arboles de otras maderas preciosas piscina de agua salada y paneles solares kiosko zona de asados bodegas casa de mayordomo plantas electricas de emergencia suplencia total pozo profundo con energia solar, a borde de via principal. cuenta con registro nacional de turismo, posee vivero para arboles forestales con registro ica.",1.0,,,1.0,,Finca en venta,desconocida,
250000000,"cali, junin, eucaristico",3.0,2.0,0.0,61.0,apartamento barrio selva apartamento tercer piso ascensor ventanal grande vista exterior cll 14 consta tres habitaciones 2 closet habitación principal baño privado baño social sala comedor cocina integral remodelada zona oficios terraza parqueadero comunitario estrato 3 unidad cuenta vigilancia 24 horas cuenta parques sociales cercanos cerca centros comerciales palmetto limonar plaza almacenes cadena olímpica ara d1,Apartamento en venta,cali,4098360.655737705
850000000,"balsos no.1, inmaculada, diamante no.2",3.0,3.0,2.0,145.0,presentamos magnífico apartamento situado mejores zonas medellín antioquia ubicación privilegiada ofrece estilo vida único rodeado comodidades servicios área total apartamento cuenta distribución inteligente aprovecha máximo espacio amplia área terreno igual medida área construida privada garantiza confort privacidad buscas además 3 alcobas 3 baños ofrecen suficiente espacio acomodar toda familia recibir invitados comodidad porteria solo diurna ingresar apartamento encontrarás construcción alta calidad detalles reflejan buen gusto elegancia hermoso suelo cerámica mármol pasando puerta seguridad clósets empotrados cocina acabados impecables baños remodelados estilo moderno ofrece comodidades facilidades podrás resistir cuenta baño auxiliar baño habitación principal bibliotecaestudio despensa zona lavandería habitación servicio además podrás disfrutar hermosa vista balcón ubicación complejo residencial cerrado zonas verdes quebrada cercana conectará naturaleza si buscas entretenimiento conveniencia apartamento cumple expectativas cercanía centros comerciales supermercados servicios facilitará vida ciudad tranquilidad acceso pavimentado ascensor porteríarecepción 247 brindarán seguridad necesitas,Apartamento en venta,medellin,5862068.9655172415
280000000,"centro, mejoras publicas, antonia santos centro",2.0,2.0,1.0,56.0,mj grupo inmobiliario excelente apartamento estrenar barrio san francisco edificio bocheti consta 2 habitaciones closet 2 baños sala comedor cocina integral zona ropas amplia,Apartamento en venta,medellin,5000000.0
300000000,"santo tomas, guarne, centro",0.0,0.0,0.0,2957.0,bienvenido aguaclara oasis tranquilidad hermosa vereda honda guarne presentamos proyecto lotes redefine experiencia vivir armonía naturaleza idílico rincón paz calma entrelazan ofrecerte entorno único puedes construir casa sueños ubicados paraíso natural lotes brindan oportunidad diseñar construir residencia siempre imaginado imagina despertar cada mañana canto pájaros disfrutar serenidad solo vereda honda puede ofrecer 5 lotes disponibles lote 2 encontrado dueño aún oportunidad elegir restantes lote 1 540000000 lote 3 570000000 lote 4 590000000 lote 5 300000000 cada lote puerta abierta realización sueños dimensiones generosas ubicación estratégica construye hogar refugio natural cada atardecer recordará,Lote en venta,pasto,101454.17653026716
